Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Tit For Tat,2.6333333333333333,0.8333333333333334,0.0,1.0,0.7999999999999999,0.03333333333333333,0.016666666666666666,0.15,1.0,0,1.0,0
1,Second by Tester,2.466666666666667,0.43333333333333335,2.0,0.0,0.3,0.13333333333333333,0.25,0.3166666666666667,0.4666666666666666,0.5833333333333334,1.0,0.125
2,Win-Stay Lose-Shift,2.466666666666667,0.8,1.0,1.0,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.13333333333333333,1.0,0,0,1.0
3,Grudger,2.433333333333333,0.7,1.0,1.0,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.26666666666666666,1.0,0,0,0
4,Tit For 2 Tats,2.3833333333333333,0.8666666666666667,0.0,1.0,0.75,0.11666666666666665,0.0,0.13333333333333333,1.0,0.75,0,0
5,Defector,2.3333333333333335,0.0,6.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0,0,0,0
6,Cooperator,2.25,1.0,0.0,1.0,0.75,0.25,0.0,0.0,1.0,1.0,0,0
